ID del Pedido,fecha_envio,Region,categoria,nombre_producto,venta,cantidad,descuento,ganancia
CA-2016-152156,11/11/2016,Sur,Muebles,Bush Somerset Collection Librero,261.96,2,0,41.9136
CA-2016-152156,11/11/2016,Sur,Muebles,"Hon Deluxe Fabric Upholstered Stacking Sillas, Rounded Back",731.94,3,0,219.582
CA-2016-138688,6/16/2016,Oeste,Suministros de oficina,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
US-2015-108966,10/18/2015,Sur,Muebles,Bretford CR4500 Series Slim Rectangular Mesa,957.5775,5,0.45,-383.031
US-2015-108966,10/18/2015,Sur,Suministros de oficina,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
CA-2014-115812,6/14/2014,Oeste,Muebles,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
CA-2014-115812,6/14/2014,Oeste,Suministros de oficina,Newell 322,7.28,4,0,1.9656
CA-2014-115812,6/14/2014,Oeste,Tecnología,Mitel 5320 IP Teléfono VoIP phone,907.152,6,0.2,90.7152
CA-2014-115812,6/14/2014,Oeste,Suministros de oficina,DXL Angle-View Archivadors with Locking Rings by Samsill,18.504,3,0.2,5.7825
CA-2014-115812,6/14/2014,Oeste,Suministros de oficina,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
CA-2014-115812,6/14/2014,Oeste,Muebles,Chromcraft Rectangular Conference Mesas,1706.184,9,0.2,85.3092
CA-2014-115812,6/14/2014,Oeste,Tecnología,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
CA-2017-114412,4/20/2017,Sur,Suministros de oficina,Xerox 1967,15.552,3,0.2,5.4432
CA-2016-161389,12/10/2016,Oeste,Suministros de oficina,Fellowes PB200 Plastic Comb Binding Máquina,407.976,3,0.2,132.5922
US-2015-118983,11/26/2015,Centro,Suministros de oficina,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
US-2015-118983,11/26/2015,Centro,Suministros de oficina,Storex DuraTech Recycled Plastic Frosted Archivadors,2.544,3,0.8,-3.816
CA-2014-105893,11/18/2014,Centro,Suministros de oficina,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
CA-2014-167164,5/15/2014,Oeste,Suministros de oficina,Fellowes Super Stor/Drawer,55.5,2,0,9.99
CA-2014-143336,09/01/2014,Oeste,Suministros de oficina,Newell 341,8.56,2,0,2.4824
CA-2014-143336,09/01/2014,Oeste,Tecnología,Cisco SPA 501G IP Teléfono,213.48,3,0.2,16.011
CA-2014-143336,09/01/2014,Oeste,Suministros de oficina,"Wilson Jones Hanging View Archivador, White, 1""",22.72,4,0.2,7.384
CA-2016-137330,12/13/2016,Centro,Suministros de oficina,Newell 318,19.46,7,0,5.0596
CA-2016-137330,12/13/2016,Centro,Suministros de oficina,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
US-2017-156909,7/18/2017,Este,Muebles,"Global Deluxe Stacking Silla, Gray",71.372,2,0.3,-1.0196
CA-2015-106320,9/30/2015,Oeste,Muebles,Bretford CR4500 Series Slim Rectangular Mesa,1044.63,3,0,240.2649
CA-2016-121755,1/20/2016,Oeste,Suministros de oficina,Wilson Jones Active Use Archivadors,11.648,2,0.2,4.2224
CA-2016-121755,1/20/2016,Oeste,Tecnología,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
US-2015-150630,9/21/2015,Este,Muebles,"Riverside Palais Royal Lawyers Librero, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
US-2015-150630,9/21/2015,Este,Suministros de oficina,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
US-2015-150630,9/21/2015,Este,Muebles,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
US-2015-150630,9/21/2015,Este,Suministros de oficina,Poly String Tie Sobres,3.264,2,0.2,1.1016
US-2015-150630,9/21/2015,Este,Suministros de oficina,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
US-2015-150630,9/21/2015,Este,Suministros de oficina,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
US-2015-150630,9/21/2015,Este,Suministros de oficina,Lumber Crayons,15.76,2,0.2,3.546
CA-2017-107727,10/23/2017,Centro,Suministros de oficina,Easy-staple paper,29.472,3,0.2,9.9468
CA-2016-117590,12/10/2016,Centro,Tecnología,GE 30524EE4,1097.544,7,0.2,123.4737
CA-2016-117590,12/10/2016,Centro,Muebles,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
CA-2015-117415,12/31/2015,Centro,Suministros de oficina,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Sobres",113.328,9,0.2,35.415
CA-2015-117415,12/31/2015,Centro,Muebles,"Atlantic Metals Mobile 3-Shelf Libreros, Custom Colors",532.3992,3,0.32,-46.9764
CA-2015-117415,12/31/2015,Centro,Muebles,"Global Fabric Manager's Silla, Dark Gray",212.058,3,0.3,-15.147
CA-2015-117415,12/31/2015,Centro,Tecnología,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
CA-2017-120999,9/15/2017,Centro,Tecnología,Panasonic Kx-TS550,147.168,4,0.2,16.5564
CA-2016-101343,7/22/2016,Oeste,Suministros de oficina,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
CA-2017-139619,9/23/2017,Sur,Suministros de oficina,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
CA-2016-118255,3/13/2016,Centro,Tecnología,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714
CA-2016-118255,3/13/2016,Centro,Suministros de oficina,Wilson Jones Leather-Like Archivadors with DublLock Round Rings,17.46,2,0,8.2062
CA-2014-146703,10/25/2014,Centro,Suministros de oficina,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
CA-2016-169194,6/25/2016,Este,Tecnología,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95
CA-2016-169194,6/25/2016,Este,Tecnología,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104
CA-2015-115742,4/22/2015,Centro,Suministros de oficina,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634
CA-2015-115742,4/22/2015,Centro,Suministros de oficina,Avery 485,75.18,6,0,35.3346
CA-2015-115742,4/22/2015,Centro,Muebles,Longer-Life Soft White Bulbs,6.16,2,0,2.9568
CA-2015-115742,4/22/2015,Centro,Muebles,"Global Leather Task Silla, Black",89.99,1,0,17.0981
CA-2016-105816,12/17/2016,Este,Suministros de oficina,Advantus Push Pins,15.26,7,0,6.2566
CA-2016-105816,12/17/2016,Este,Tecnología,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855
CA-2016-111682,6/18/2016,Este,Suministros de oficina,Home/Office Personal File Carts,208.56,6,0,52.14
CA-2016-111682,6/18/2016,Este,Suministros de oficina,Xerox 232,32.4,5,0,15.552
CA-2016-111682,6/18/2016,Este,Muebles,Novimex Turbo Task Silla,319.41,5,0.1,7.098
CA-2016-111682,6/18/2016,Este,Suministros de oficina,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888
CA-2016-111682,6/18/2016,Este,Tecnología,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
CA-2016-111682,6/18/2016,Este,Suministros de oficina,Plastic Binding Combs,48.48,4,0.2,16.362
CA-2016-111682,6/18/2016,Este,Suministros de oficina,Prang Dustless Chalk Sticks,1.68,1,0,0.84
CA-2015-135545,11/30/2015,Oeste,Tecnología,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512
CA-2015-135545,11/30/2015,Oeste,Suministros de oficina,"Acco PRESSTEX Data Archivador with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
CA-2015-135545,11/30/2015,Oeste,Suministros de oficina,Xerox 1943,146.73,3,0,68.9631
CA-2015-135545,11/30/2015,Oeste,Muebles,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328
US-2015-164175,05/05/2015,Centro,Muebles,"Global Value Mid-Back Manager's Silla, Gray",213.115,5,0.3,-15.2225
CA-2014-106376,12/10/2014,Oeste,Suministros de oficina,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
CA-2014-106376,12/10/2014,Oeste,Tecnología,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
CA-2016-119823,06/06/2016,Sur,Suministros de oficina,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636
CA-2016-106075,9/23/2016,Este,Suministros de oficina,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731
CA-2017-114440,9/17/2017,Centro,Suministros de oficina,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763
US-2015-134026,05/02/2015,Sur,Muebles,High-Back Leather Manager's Silla,831.936,8,0.2,-114.3912
US-2015-134026,05/02/2015,Sur,Muebles,"Tenex Traditional Sillamats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213
US-2015-134026,05/02/2015,Sur,Suministros de oficina,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196
US-2017-118038,12/11/2017,Centro,Suministros de oficina,Economy Archivadors,1.248,3,0.8,-1.9344
US-2017-118038,12/11/2017,Centro,Muebles,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
US-2017-118038,12/11/2017,Centro,Suministros de oficina,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
US-2014-147606,12/01/2014,Centro,Muebles,"Eldon Expressions Desk Accesorio, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
CA-2016-127208,6/15/2016,Sur,Suministros de oficina,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032
CA-2016-127208,6/15/2016,Sur,Suministros de oficina,Avery Heavy-Duty EZD  Archivador With Locking Rings,16.74,3,0,8.0352
CA-2014-139451,10/16/2014,Oeste,Suministros de oficina,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172
CA-2014-139451,10/16/2014,Oeste,Suministros de oficina,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031
CA-2015-149734,09/08/2015,Sur,Suministros de oficina,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075
US-2017-119662,11/16/2017,Centro,Suministros de oficina,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
CA-2017-140088,5/30/2017,Sur,Muebles,Novimex Swivel Fabric Task Silla,301.96,2,0,33.2156
CA-2017-155558,11/02/2017,Centro,Tecnología,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966
CA-2017-155558,11/02/2017,Centro,Suministros de oficina,Avery 511,6.16,2,0,2.9568
CA-2016-159695,04/10/2016,Centro,Suministros de oficina,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
CA-2016-109806,9/22/2016,Oeste,Suministros de oficina,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633
CA-2016-109806,9/22/2016,Oeste,Tecnología,Panasonic Kx-TS550,73.584,2,0.2,8.2782
CA-2016-109806,9/22/2016,Oeste,Suministros de oficina,Xerox 1995,6.48,1,0,3.1104
CA-2015-149587,02/05/2015,Centro,Suministros de oficina,Xerox 1999,12.96,2,0,6.2208
